brsp,gtto,lasp,sags,sath,vesp,x,y
251,1,26,5,158,0,-107.8616029,40.6681037
7,205,0,0,0,7,-104.6390073,40.8627005
0,0,0,117,45,20,-103.7997669,40.3492697
2,28,0,0,8,2,-108.9548949,39.4433277
3,1,0,5,2,0,-107.3678337,39.0799673
1,0,1,17,0,3,-106.4087149,39.1529607
0,3,0,6,0,31,-105.9687199,39.4106807
12,1,0,0,7,2,-104.3773535,39.7238537
76,50,4,22,94,0,-108.4608309,38.0687767
120,0,116,0,2,0,-107.2632899,38.4648048
2,11,1,12,0,97,-105.7794649,38.6441327
3,85,0,0,0,5,-104.4588733,38.5495769
26,5,15,237,0,16,-103.3489149,38.7624107
7,105,227,0,7,550,-107.8701319,37.2370827
116,2,3,8,1,17,-105.5208509,37.0987057
1,0,0,0,16,42,-103.8764488,37.95117
65,2,0,1,38,7,-108.7539818,40.2044442
71,1,0,36,164,3,-107.8736167,40.0522652
0,3,1,0,0,2,-105.9787229,40.3126093
27,0,0,10,24,0,-108.1651539,39.8228687
0,0,5,3,0,173,-107.6922689,39.7578337
1,4,0,0,12,5,-106.5583499,39.9539677
0,25,2,3,0,9,-105.5238079,39.8235192
0,80,94,50,0,0,-104.7380455,38.9999639
14,0,8,8,0,0,-108.5366804,38.2700861
1,10,0,0,6,3,-107.7416909,38.1738367
7,0,0,18,0,0,-106.8645557,38.0540197
23,4,13,276,0,0,-105.5137559,38.1502227
2,0,2,495,0,0,-106.2560823,37.8392179
0,0,0,3,8,0,-105.232388,37.9410936
1,26,2,101,0,9,-104.5848671,37.3389499
0,78,0,59,7,2,-106.1788927,39.1305537
0,2,0,141,1,0,-108.46451,37.5166544
1,1,0,0,0,2,-107.8695551,37.2314334
74,0,0,4,0,10,-105.5210119,37.0988956
0,2,0,1,49,0,-106.00812,40.179928
0,9,2,2,0,8,-104.7986289,39.8130827
46,47,10,0,0,0,-104.7912219,40.8120627
0,0,165,0,2,161,-105.3722224,39.6848088
0,0,1,4,0,2,-108.4824304,37.2704067
854,0,0,18,0,0,-113.5624829,45.0341095
1,1,16,4,3,7,-115.0979702,44.4572034
0,0,0,7,8,0,-114.1743245,44.6127281
279,0,118,60,479,1,-113.5203605,44.722359
643,0,75,0,1098,0,-112.2561867,44.2384571
20,2,8,47,90,0,-111.2586979,44.0271337
94,1,0,35,381,0,-116.0962005,43.455341
1,371,1,13,335,0,-115.951094,43.7258179
1,2,0,2,67,0,-114.9073789,43.8977317
970,5,6,5,0,2,-113.5630006,43.4619319
50,0,0,0,1,157,-112.7317982,43.1104288
99,0,70,0,2,11,-111.7010272,43.5343116
915,1,16,6,4,26,-116.6394012,42.8131415
9,38,0,37,4,20,-115.1851959,42.9094597
1,1,13,283,0,4,-114.2794532,42.3311564
8,4,17,14,39,1,-113.5890998,42.6770234
8,0,0,1,44,0,-112.519388,42.8548166
90,8,0,8,120,29,-111.5524589,42.9309637
24,62,109,0,14,239,-116.0315611,44.4138961
72,135,7,1,155,3,-114.8761118,43.9110934
12,2,26,95,461,11,-115.2124573,42.953922
545,18,7,2,0,72,-111.7185508,42.9613154
9,16,0,6,147,0,-116.8391482,46.4470219
7,49,6,34,136,60,-114.0119991,45.0778394
295,85,0,34,88,0,-116.5087254,44.1957002
0,34,2,0,0,0,-114.7338639,44.2711977
251,0,2,2,3,400,-113.3704824,44.2330004
118,0,13,5,66,6,-116.5088281,43.1584349
363,21,0,54,14,0,-115.3610245,43.4135132
2,202,2,0,2,0,-114.252264,43.4007821
199,36,0,32,14,18,-113.8743621,43.3387265
6,3,23,27,2,0,-112.3960119,43.8124267
10,193,28,0,264,2,-111.2006106,43.8248162
112,0,0,5,84,3,-116.9936762,42.6439302
1,0,1,0,51,121,-115.7179519,42.7918728
26,19,4,1,41,6,-114.0888322,42.431685
54,0,19,3,17,13,-113.8402099,42.2100017
128,0,0,111,1,0,-112.3918149,42.4988307
0,0,2,7,0,1,-111.9538098,42.0021387
271,33,92,8,99,64,-112.65036,43.521597
536,0,360,0,14,1,-113.0094549,43.5493493
449,20,48,1,212,1,-112.8423869,43.743192
767,5,0,5,10,16,-112.8721588,43.5602019
835,17,0,4,26,0,-112.63692,43.5492585
0,52,8,1,0,254,-99.2722929,37.1645227
1,1,4,1,0,425,-100.2439639,38.9009177
0,7,9,3,0,116,-115.0332204,48.3571764
0,0,8,0,0,0,-113.4130179,48.8084087
11,3,0,25,0,0,-112.3253929,48.9576837
3,0,0,16,6,6,-111.622297,48.8711551
0,0,1,16,59,0,-110.3321782,48.0610003
23,59,0,1,4,0,-109.0648339,48.2967897
46,0,0,47,230,51,-108.7144099,48.3824357
43,17,25,6,0,2,-107.868382,48.2200197
2,3,8,135,33,1,-105.9946591,48.0596931
10,0,18,12,0,25,-104.8419949,48.8382207
17,0,8,0,7,159,-114.2006069,47.7185447
8,0,0,35,0,0,-112.4118119,47.3060617
0,17,0,0,1,2,-111.2628629,47.4941887
3,3,63,1,148,85,-110.8958659,47.5054097
210,1,0,0,6,0,-109.4150839,47.7874097
26,8,7,0,1,18,-108.8010122,47.2705926
35,3,0,5,106,2,-107.3129313,47.498806
17,79,34,0,5,243,-106.9035649,47.6042107
1,2,1,2,1,90,-105.812316,47.548833
14,0,0,0,0,198,-104.1527019,47.4695697
0,8,0,0,0,132,-112.4949499,46.6205137
88,8,1,196,0,1,-111.9188609,46.1235467
24,7,0,2,0,0,-110.0515279,46.3295907
8,3,2,1,120,13,-109.6664819,46.1032917
41,0,0,51,205,19,-108.3468089,46.9022197
24,1,0,4,0,0,-107.0640799,46.5835337
2,0,0,0,27,55,-106.6939401,46.2579454
15,0,18,90,0,1,-105.0895338,46.4973888
0,0,6,1,105,12,-113.9522469,45.8507057
0,1,1,0,11,11,-112.5643159,45.3055747
18,31,42,12,11,2,-111.7636564,45.9146442
93,4,17,26,7,13,-110.7878949,45.5761407
10,0,38,5,0,38,-109.5466543,45.7251707
0,2,4,1,4,6,-108.7802397,45.5642095
2,12,7,0,16,0,-107.7207419,45.4319207
98,0,76,0,2,2,-106.4290921,45.8279275
192,1,15,1,1,0,-105.4130672,45.9440787
151,2,72,0,0,208,-104.4650383,45.3107762
220,8,0,3,30,0,-112.025803,44.5869032
378,0,11,7,56,0,-111.5237969,44.5987327
0,20,22,0,2,20,-114.4473183,45.7461729
0,9,128,15,0,4,-113.0794573,45.5347235
94,0,66,0,0,197,-112.710893,44.5611413
1,0,2,7,8,11,-111.46974,48.682302
1,55,2,7,0,85,-108.3468,46.9022197
4,1,0,0,12,87,-112.6419759,45.3790727
21,1,6,3,128,1,-111.763656,45.9146442
0,1,21,0,0,0,-113.831439,46.5749907
1,73,26,0,0,0,-113.2368619,47.0305267
0,0,1,0,25,0,-113.3867024,46.8935108
94,58,16,0,1,0,-108.7538747,45.20504
4,0,0,6,1,109,-108.4511499,46.1988347
0,41,32,0,1,1,-102.9730078,41.3523266
1,4,16,7,10,0,-101.7208618,42.2796649
21,84,47,4,1,0,-103.7829219,42.2503717
0,88,5,31,9,0,-103.6630552,41.2483521
0,1,0,0,3,3,-103.9868089,41.6980247
9,0,47,12,1,28,-119.8303989,41.4882487
1,0,56,0,0,4,-118.9004059,41.3171877
29,0,24,128,1,0,-117.1034859,41.8823377
281,57,1,0,0,168,-116.5900339,41.2263817
143,89,0,0,0,101,-115.9007665,41.0704517
299,0,5,12,0,55,-114.0728079,41.9460977
39,1,0,4,0,1,-119.7796496,40.2636938
10,0,26,0,34,0,-117.1872779,40.1686217
8,0,0,12,1,0,-116.5858881,40.0802831
466,102,36,1,0,2,-115.6324132,40.0935212
132,218,31,1,2,2,-114.8020439,40.328679
9,57,104,1,37,0,-119.5489579,39.7695387
296,28,10,0,10,8,-117.4662536,39.0044442
481,0,0,1,85,2,-116.3870941,39.5518146
394,4,277,2,53,117,-115.2707624,39.3621311
66,0,7,22,2,10,-114.4976522,39.2075029
8,3,16,107,3,210,-119.8462197,39.0037402
1,11,0,168,1,5,-118.4721449,38.5501977
5,0,6,4,1,0,-117.1041949,38.8057797
521,23,126,1,4,16,-116.4033739,38.8779597
0,26,7,69,4,7,-115.612409,38.1481212
130,16,1,178,10,22,-114.5604399,38.7946177
3,22,5,98,33,47,-117.6339503,37.7555048
4,311,11,6,1,1,-115.0336839,37.6075607
1,9,14,0,0,0,-114.7461089,37.6959387
6,6,1,2,18,80,-115.2094039,35.7204427
2,2,0,0,0,71,-115.4191359,41.9347177
8,12,3,6,12,0,-115.6277619,40.3534367
3,40,8,0,4,0,-119.3834746,39.9432554
268,0,1,8,3,11,-119.6696108,41.833551
5,0,0,1,1,0,-117.4503139,41.4177434
6,24,0,0,63,1,-118.3127891,40.4669574
31,303,1,3,9,2,-118.7255249,39.4020097
1,21,7,31,300,0,-118.7546769,38.6442617
22,22,48,0,2,31,-117.19377,38.8931842
5,46,7,9,0,34,-115.2763589,36.9477957
56,2,24,1,6,38,-115.4929227,40.1798727
1,8,80,2,12,157,-118.00395,40.653659
59,0,119,0,0,29,-114.8025242,39.1598606
89,5,5,0,0,21,-115.9521789,41.7889927
316,12,1,0,0,163,-119.3053669,41.5905187
6,45,12,2,5,1,-119.2548979,39.3028567
6,1,5,6,1,0,-117.0926751,39.2077202
1,4,204,119,15,0,-116.3432079,36.4907307
19,323,20,0,4,0,-119.1199346,41.7723066
1,7,48,11,0,1,-108.1106179,36.7711947
74,105,0,9,5,37,-107.7013619,36.1676097
4,2,0,15,0,2,-106.3360529,36.5200127
0,0,4,1,198,26,-103.5750419,36.7278337
8,3,32,63,0,19,-107.2646486,35.7840111
4,9,0,112,0,0,-108.4498979,34.6383511
0,0,32,9,0,0,-106.6750109,34.7961467
0,5,4,6,1,3,-108.1876061,33.9262784
176,60,0,13,0,0,-107.4794163,36.4327042
40,1,9,8,2,3,-106.9010999,36.6172567
0,27,3,0,0,4,-108.9107183,35.2921949
8,6,3,0,14,1,-107.4433369,35.4463117
0,0,1,0,6,1,-108.7731399,34.4625537
7,1,0,59,0,20,-107.7693099,34.0384437
58,115,23,64,0,1,-106.9003714,36.6191539
0,3,12,86,0,0,-104.7260509,36.6066007
4,176,1,119,0,8,-108.010155,36.8338846
0,0,4,223,0,0,-103.4318999,46.2056707
